ticker_1,ticker_2,correlation,lookback_period,sector_1,sector_2,correlation_category
AAPL,AAPL,1.0,ALL,Technology,Technology,High Positive
AAPL,AMZN,0.535993,ALL,Technology,Consumer Cyclical,Moderate Positive
AAPL,BRK-B,0.459266,ALL,Technology,Financial Services,Moderate Positive
AAPL,CAT,0.305965,ALL,Technology,Industrials,Moderate Positive
AAPL,CVX,0.216158,ALL,Technology,Energy,Low/No Correlation
AAPL,GOOGL,0.542244,ALL,Technology,Communication Services,Moderate Positive
AAPL,GS,0.425911,ALL,Technology,Financial Services,Moderate Positive
AAPL,HON,0.413076,ALL,Technology,Industrials,Moderate Positive
AAPL,JNJ,0.134959,ALL,Technology,Healthcare,Low/No Correlation
AAPL,JPM,0.373695,ALL,Technology,Financial Services,Moderate Positive
AAPL,KO,0.254125,ALL,Technology,Consumer Defensive,Low/No Correlation
AAPL,MSFT,0.569103,ALL,Technology,Technology,Moderate Positive
AAPL,NVDA,0.488277,ALL,Technology,Technology,Moderate Positive
AAPL,PFE,0.233841,ALL,Technology,Healthcare,Low/No Correlation
AAPL,PG,0.258037,ALL,Technology,Consumer Defensive,Low/No Correlation
AAPL,UNH,0.094512,ALL,Technology,Healthcare,Low/No Correlation
AAPL,V,0.491101,ALL,Technology,Financial Services,Moderate Positive
AAPL,XOM,0.1745,ALL,Technology,Energy,Low/No Correlation
AMZN,AMZN,1.0,ALL,Consumer Cyclical,Consumer Cyclical,High Positive
AMZN,BRK-B,0.358132,ALL,Consumer Cyclical,Financial Services,Moderate Positive
AMZN,CAT,0.291232,ALL,Consumer Cyclical,Industrials,Low/No Correlation
AMZN,CVX,0.149832,ALL,Consumer Cyclical,Energy,Low/No Correlation
AMZN,GOOGL,0.617489,ALL,Consumer Cyclical,Communication Services,Moderate Positive
AMZN,GS,0.431809,ALL,Consumer Cyclical,Financial Services,Moderate Positive
AMZN,HON,0.34427,ALL,Consumer Cyclical,Industrials,Moderate Positive
AMZN,JNJ,-0.003235,ALL,Consumer Cyclical,Healthcare,Low/No Correlation
AMZN,JPM,0.369429,ALL,Consumer Cyclical,Financial Services,Moderate Positive
AMZN,KO,0.081973,ALL,Consumer Cyclical,Consumer Defensive,Low/No Correlation
AMZN,MSFT,0.626193,ALL,Consumer Cyclical,Technology,Moderate Positive
AMZN,NVDA,0.537041,ALL,Consumer Cyclical,Technology,Moderate Positive
AMZN,PFE,0.140546,ALL,Consumer Cyclical,Healthcare,Low/No Correlation
AMZN,PG,0.100071,ALL,Consumer Cyclical,Consumer Defensive,Low/No Correlation
AMZN,UNH,0.079807,ALL,Consumer Cyclical,Healthcare,Low/No Correlation
AMZN,V,0.410168,ALL,Consumer Cyclical,Financial Services,Moderate Positive
AMZN,XOM,0.081391,ALL,Consumer Cyclical,Energy,Low/No Correlation
BRK-B,BRK-B,1.0,ALL,Financial Services,Financial Services,High Positive
BRK-B,CAT,0.376331,ALL,Financial Services,Industrials,Moderate Positive
BRK-B,CVX,0.370915,ALL,Financial Services,Energy,Moderate Positive
