trade_date,ticker,sector,company_name,shares_held,buy_price,close_price,adj_close,volume,daily_return,cumulative_return,market_value,cost_basis,unrealized_pnl,pnl_pct
2022-01-04,AAPL,Technology,Apple Inc.,50.0,145.0,179.7,175.6814,99310400,-0.01269138,-0.01269138,8784.07,7250.0,1534.0699999999997,21.15958620689655
2022-01-04,AMZN,Consumer,"Amazon.com, Inc.",30.0,140.0,167.522,167.522,70726000,-0.01691563,-0.01691563,5025.66,4200.0,825.6599999999999,19.658571428571424
2022-01-04,BRK-B,Financials,Berkshire Hathaway Inc.,12.0,310.0,308.53,308.53,6003300,0.02573224,0.02573224,3702.3599999999997,3720.0,-17.640000000000327,-0.4741935483871056
2022-01-04,CAT,Industrials,Caterpillar Inc.,15.0,210.0,218.08,201.2142,5242300,0.05352603,0.05352603,3018.213,3150.0,-131.7869999999998,-4.183714285714283
2022-01-04,CVX,Energy,Chevron Corporation,25.0,125.0,121.43,101.3992,16413100,0.01819511,0.01819511,2534.98,3125.0,-590.02,-18.880640000000003
2022-01-04,GOOGL,Technology,Alphabet Inc.,20.0,130.0,144.3995,143.1303,28400000,-0.00408302,-0.00408302,2862.606,2600.0,262.6060000000002,10.100230769230773
2022-01-04,GS,Financials,"The Goldman Sachs Group, Inc.",10.0,350.0,407.48,364.6596,3916400,0.03073351,0.03073351,3646.596,3500.0,146.596,4.188457142857146
2022-01-04,HON,Industrials,Honeywell International Inc.,20.0,195.0,206.5904,187.7785,3294381,0.01063876,0.01063876,3755.57,3900.0,-144.42999999999984,-3.703333333333329
2022-01-04,JNJ,Healthcare,Johnson & Johnson,35.0,165.0,171.08,150.4975,6748400,-0.00268187,-0.00268187,5267.4125,5775.0,-507.58749999999964,-8.789393939393939
2022-01-04,JPM,Financials,JPMorgan Chase & Co.,25.0,150.0,167.83,148.9867,20195800,0.03791009,0.03791009,3724.6675000000005,3750.0,-25.332499999999527,-0.6755333333333245
2022-01-04,KO,Consumer,The Coca-Cola Company,60.0,58.0,60.29,52.7994,26141600,0.01669478,0.01669478,3167.964,3480.0,-312.03600000000006,-8.966551724137933
2022-01-04,MSFT,Technology,Microsoft Corporation,30.0,290.0,329.01,316.933,32674300,-0.01714743,-0.01714743,9507.99,8700.0,807.9899999999998,9.287241379310341
2022-01-04,NVDA,Technology,NVIDIA Corporation,40.0,220.0,29.29,29.1978,527154000,-0.027586,-0.027586,1167.912,8800.0,-7632.088,-86.72827272727272
2022-01-04,PFE,Healthcare,Pfizer Inc.,100.0,48.0,54.53,42.9589,66993100,-0.03742186,-0.03742186,4295.89,4800.0,-504.1099999999997,-10.502291666666668
2022-01-04,PG,Consumer,The Procter & Gamble Company,40.0,155.0,163.47,145.7355,9253800,0.00349934,0.00349934,5829.42,6200.0,-370.5799999999999,-5.977096774193547
2022-01-04,UNH,Healthcare,UnitedHealth Group Incorporated,10.0,470.0,490.9,452.7177,3908100,-0.02265677,-0.02265677,4527.177,4700.0,-172.82300000000032,-3.6770851063829832
2022-01-04,V,Financials,Visa Inc.,20.0,210.0,222.46,214.9657,10629300,0.00465158,0.00465158,4299.314,4200.0,99.3140000000003,2.3646190476190467
2022-01-04,XOM,Energy,ExxonMobil Holdings Corporation,45.0,72.0,65.93,56.4369,38584000,0.03761277,0.03761277,2539.6605,3240.0,-700.3395,-21.615416666666665
2022-01-05,AAPL,Technology,Apple Inc.,50.0,145.0,174.92,171.0083,94537600,-0.02659986,-0.03895365,8550.414999999999,7250.0,1300.414999999999,17.93675862068965
2022-01-05,AMZN,Consumer,"Amazon.com, Inc.",30.0,140.0,164.357,164.357,64302000,-0.01889304,-0.03548909,4930.71,4200.0,730.71,17.39785714285714
2022-01-05,BRK-B,Financials,Berkshire Hathaway Inc.,12.0,310.0,309.92,309.92,6888300,0.00450523,0.0303534,3719.04,3720.0,-0.9600000000000364,-0.025806451612898094
2022-01-05,CAT,Industrials,Caterpillar Inc.,15.0,210.0,219.75,202.7551,5378200,0.00765801,0.06159394,3041.3265,3150.0,-108.67349999999988,-3.4499523809523813
2022-01-05,CVX,Energy,Chevron Corporation,25.0,125.0,122.22,102.0589,15487100,0.00650597,0.02481945,2551.4725,3125.0,-573.5275000000001,-18.352880000000006
2022-01-05,GOOGL,Technology,Alphabet Inc.,20.0,130.0,137.775,136.5641,54618000,-0.04587568,-0.04977139,2731.282,2600.0,131.28200000000015,5.04930769230769
2022-01-05,GS,Financials,"The Goldman Sachs Group, Inc.",10.0,350.0,398.63,356.7397,3469600,-0.02171861,0.00834741,3567.3970000000004,3500.0,67.39700000000039,1.9256285714285792
2022-01-05,HON,Industrials,Honeywell International Inc.,20.0,195.0,208.6267,189.6293,4136186,0.00985629,0.02059991,3792.5860000000002,3900.0,-107.41399999999976,-2.754205128205128
2022-01-05,JNJ,Healthcare,Johnson & Johnson,35.0,165.0,172.22,151.5004,7016100,0.0066639,0.00396416,5302.514,5775.0,-472.4859999999999,-8.18157575757575
2022-01-05,JPM,Financials,JPMorgan Chase & Co.,25.0,150.0,163.78,146.2629,17539400,-0.01828217,0.01893484,3656.5725,3750.0,-93.42749999999978,-2.4913999999999987
2022-01-05,KO,Consumer,The Coca-Cola Company,60.0,58.0,60.79,53.2373,22507300,0.00829365,0.0251269,3194.238,3480.0,-285.76200000000017,-8.211551724137935
2022-01-05,MSFT,Technology,Microsoft Corporation,30.0,290.0,316.38,304.7667,40054300,-0.03838761,-0.05487679,9143.001,8700.0,443.0010000000002,5.091965517241384
2022-01-05,NVDA,Technology,NVIDIA Corporation,40.0,220.0,27.604,27.5171,498064000,-0.05756256,-0.08356064,1100.684,8800.0,-7699.316,-87.49222727272728
2022-01-05,PFE,Healthcare,Pfizer Inc.,100.0,48.0,55.63,43.8255,52956400,0.02017277,-0.01800399,4382.55,4800.0,-417.4499999999998,-8.696875000000004
2022-01-05,PG,Consumer,The Procter & Gamble Company,40.0,155.0,164.21,146.3952,9330200,0.00452669,0.00804188,5855.807999999999,6200.0,-344.1920000000009,-5.55148387096775
2022-01-05,UNH,Healthcare,UnitedHealth Group Incorporated,10.0,470.0,489.69,451.6018,3921100,-0.00246489,-0.02506581,4516.018,4700.0,-183.98199999999997,-3.914510638297867
2022-01-05,V,Financials,Visa Inc.,20.0,210.0,220.0,212.5886,9594600,-0.01105804,-0.0064579,4251.772,4200.0,51.771999999999935,1.2326666666666732
2022-01-05,XOM,Energy,ExxonMobil Holdings Corporation,45.0,72.0,66.75,57.1389,34033300,0.01243867,0.05051929,2571.2505,3240.0,-668.7494999999999,-20.640416666666667
2022-01-06,AAPL,Technology,Apple Inc.,50.0,145.0,172.0,168.1536,96904000,-0.01669334,-0.05499672,8407.68,7250.0,1157.6800000000003,15.968000000000007
2022-01-06,AMZN,Consumer,"Amazon.com, Inc.",30.0,140.0,163.254,163.254,51958000,-0.006711,-0.04196192,4897.62,4200.0,697.6199999999999,16.609999999999996
2022-01-06,BRK-B,Financials,Berkshire Hathaway Inc.,12.0,310.0,313.22,313.22,5137200,0.01064791,0.04132451,3758.6400000000003,3720.0,38.64000000000033,1.0387096774193636
2022-01-06,CAT,Industrials,Caterpillar Inc.,15.0,210.0,221.99,204.8218,3913200,0.01019309,0.07241485,3072.3269999999998,3150.0,-77.67300000000023,-2.4658095238095257
2022-01-06,CVX,Energy,Chevron Corporation,25.0,125.0,123.26,102.9273,13318500,0.00850881,0.03353945,2573.1825,3125.0,-551.8175000000001,-17.65816
2022-01-06,GOOGL,Technology,Alphabet Inc.,20.0,130.0,137.7475,136.5368,37348000,-0.00019991,-0.04996135,2730.736,2600.0,130.73599999999988,5.028307692307692
2022-01-06,GS,Financials,"The Goldman Sachs Group, Inc.",10.0,350.0,396.93,355.2183,2960900,-0.00426473,0.00404707,3552.183,3500.0,52.18299999999999,1.490942857142857
