ticker,display_name,lookback_period,as_of_date,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,var_95,cvar_95,max_drawdown,beta,alpha,tracking_error,information_ratio,skewness,kurtosis,total_return
AAPL,Apple Inc.,1Y,2026-07-21,0.5597196,0.24498727,2.12504035,3.23953119,-0.02017176,-0.03216836,-0.13798536,0.87016257,0.38705804,0.21959398,1.67186279,0.09701042,2.02234044,0.5597196
AAPL,Apple Inc.,3Y,2026-07-21,0.20383242,0.26535732,0.62075034,0.86932736,-0.02531731,-0.03793273,-0.33360505,1.12334273,0.00010281,0.20587737,0.08829431,0.67543071,11.64412594,0.74460898
AAPL,Apple Inc.,ALL,2026-07-21,0.14495067,0.28284121,0.37419902,0.54411324,-0.02788352,-0.03999676,-0.33360505,1.20378837,0.02741128,0.19371049,0.21004659,0.46933365,6.87331681,0.84377067
AMZN,"Amazon.com, Inc.",1Y,2026-07-21,0.09461372,0.31142016,0.17822207,0.26759394,-0.0307625,-0.04333356,-0.2173622,1.42329415,-0.16294073,0.25991675,-0.37694718,0.04935822,2.99968669,0.09461372
AMZN,"Amazon.com, Inc.",3Y,2026-07-21,0.22491322,0.31185556,0.59579326,0.90343565,-0.02944666,-0.0425937,-0.30876642,1.41887002,-0.02212381,0.23650856,0.16599229,0.26532713,4.40340292,0.83787496
AMZN,"Amazon.com, Inc.",ALL,2026-07-21,0.08610672,0.36640197,0.12826063,0.18912775,-0.03427892,-0.05150583,-0.5167587,1.52405426,-0.05229822,0.26915824,-0.06745373,0.14809007,4.57758826,0.45257314
BRK-B,Berkshire Hathaway Inc.,1Y,2026-07-21,0.03444491,0.14541756,-0.03209281,-0.04625969,-0.01420027,-0.02010057,-0.09421771,0.04725549,-0.01191948,0.18861452,-0.83844919,-0.51262881,3.06146852,0.03444491
BRK-B,Berkshire Hathaway Inc.,3Y,2026-07-21,0.12843829,0.15850681,0.56355,0.77709458,-0.01454054,-0.02201138,-0.14948129,0.44335451,0.02435608,0.16634756,-0.34395654,-0.31318282,7.07759391,0.43692281
BRK-B,Berkshire Hathaway Inc.,ALL,2026-07-21,0.11407117,0.17419944,0.43030794,0.62765159,-0.01657332,-0.02416233,-0.26578969,0.60087141,0.03581222,0.15574852,0.06297798,-0.05695221,3.96620629,0.62944247
CAT,Caterpillar Inc.,1Y,2026-07-21,1.17389442,0.38134855,2.97570991,4.94737063,-0.03603456,-0.04581672,-0.18686888,1.67564136,0.87761052,0.32857038,2.98659243,0.54477791,2.77138383,1.17389442
CAT,Caterpillar Inc.,3Y,2026-07-21,0.53851925,0.31994201,1.56093122,2.3831444,-0.0284254,-0.04301531,-0.34047145,1.28885674,0.31053474,0.25863377,1.36434087,0.47337378,4.40678332,2.64173886
CAT,Caterpillar Inc.,ALL,2026-07-21,0.40497683,0.32007022,1.14307746,1.74547595,-0.0303586,-0.04378623,-0.34047145,1.05261928,0.2972862,0.26285545,1.14402948,0.38000861,3.56290938,3.64987392
CVX,Chevron Corporation,1Y,2026-07-21,0.31992209,0.22682765,1.23798981,1.7572521,-0.02271706,-0.03245161,-0.20810998,-0.39448932,0.34135529,0.28276944,0.4503085,-0.33767188,1.08556698,0.31992209
CVX,Chevron Corporation,3Y,2026-07-21,0.11984163,0.22751814,0.35482822,0.44539972,-0.02329758,-0.03518388,-0.20810998,0.35963907,0.02802732,0.24098947,-0.27309489,-0.7740986,4.14506729,0.40433209
CVX,Chevron Corporation,ALL,2026-07-21,0.15374871,0.25503841,0.44948894,0.60435249,-0.02535606,-0.0380908,-0.24948896,0.46320884,0.08445857,0.25935502,0.19080512,-0.37241893,3.13894325,0.90867903
GOOGL,Alphabet Inc.,1Y,2026-07-21,0.89158235,0.3051393,2.79370952,5.36234599,-0.02406418,-0.03237368,-0.20366463,1.34405669,0.64618901,0.25731212,2.71652084,1.0375639,3.92278496,0.89158235
GOOGL,Alphabet Inc.,3Y,2026-07-21,0.4107694,0.29964976,1.24030676,1.85017425,-0.02533248,-0.04073154,-0.29805862,1.17510052,0.19945505,0.24379016,0.92339568,0.28155445,4.83592176,1.80781241
GOOGL,Alphabet Inc.,ALL,2026-07-21,0.21693328,0.32496178,0.54720747,0.83029518,-0.03100725,-0.04455025,-0.43628391,1.26759898,0.09523658,0.24346177,0.46278657,0.1783205,3.05830253,1.42880284
GS,"The Goldman Sachs Group, Inc.",1Y,2026-07-21,0.56088908,0.30684098,1.70048114,2.61163661,-0.02623933,-0.04103996,-0.19422186,1.5592613,0.28246682,0.24574836,1.49868945,0.16261862,2.50041506,0.56088908
GS,"The Goldman Sachs Group, Inc.",3Y,2026-07-21,0.52751288,0.29236057,1.67054367,2.44130306,-0.02385943,-0.03984358,-0.3089573,1.35193721,0.29028438,0.21717916,1.57408406,0.50035675,7.41213478,2.56413905
GS,"The Goldman Sachs Group, Inc.",ALL,2026-07-21,0.281041,0.28836474,0.83896952,1.23841799,-0.02522097,-0.04009128,-0.3089573,1.1546187,0.16670504,0.20891707,0.84616615,0.31466726,5.62969131,2.06314684
HON,Honeywell International Inc.,1Y,2026-07-21,0.00477455,0.25828462,-0.13294335,-0.19165396,-0.02519633,-0.03686185,-0.16541091,0.8024603,-0.15749629,0.23889621,-0.78617427,0.05446769,3.44414233,0.00477455
HON,Honeywell International Inc.,3Y,2026-07-21,0.06368347,0.22538221,0.10902234,0.1496504,-0.01980899,-0.03310227,-0.22102296,0.76694083,-0.087818,0.19696186,-0.6192628,-0.04860887,6.07642743,0.20347543
HON,Honeywell International Inc.,ALL,2026-07-21,0.04825523,0.22739024,0.04021041,0.05650782,-0.02087363,-0.03280326,-0.22711913,0.78429475,-0.04195388,0.18587206,-0.30132136,-0.1133356,4.57877722,0.23739329
JNJ,Johnson & Johnson,1Y,2026-07-21,0.5636515,0.18043701,2.9070518,4.99507606,-0.01722252,-0.0208939,-0.10959109,-0.13353543,0.54503433,0.22967057,1.615631,0.28194566,0.62012105,0.5636515
JNJ,Johnson & Johnson,3Y,2026-07-21,0.19466058,0.18117973,0.85853315,1.26101083,-0.01705917,-0.02353145,-0.15946142,0.00984413,0.15410622,0.23423552,0.03844831,0.08373093,5.29083955,0.70503618
JNJ,Johnson & Johnson,ALL,2026-07-21,0.11790084,0.17669627,0.44590111,0.67748379,-0.01662291,-0.02308004,-0.18411639,0.1636115,0.06812966,0.2269878,0.06008423,0.17254952,4.44771485,0.65491292
JPM,JPMorgan Chase & Co.,1Y,2026-07-21,0.20740764,0.22191554,0.75837799,1.07129375,-0.02341163,-0.03144922,-0.15471739,0.8230798,0.04197218,0.19735706,0.07508741,-0.31478486,0.83477019,0.20740764
JPM,JPMorgan Chase & Co.,3Y,2026-07-21,0.3501622,0.22977128,1.35373936,1.7557448,-0.02086435,-0.03480607,-0.24423942,0.88835315,0.18086863,0.18796885,0.87518535,0.04360439,8.65204862,1.46126194
JPM,JPMorgan Chase & Co.,ALL,2026-07-21,0.21417128,0.2484104,0.70471892,0.97907058,-0.02440603,-0.03661781,-0.37929526,0.89037222,0.11705116,0.19531458,0.56272724,0.11298606,5.17135857,1.40398649
KO,The Coca-Cola Company,1Y,2026-07-21,0.21006149,0.17940946,0.95284677,1.72063599,-0.01562074,-0.02011697,-0.07867585,-0.27487144,0.21313612,0.2385021,0.07326094,0.4940758,1.41492654,0.21006149
KO,The Coca-Cola Company,3Y,2026-07-21,0.13812386,0.16168921,0.61236055,0.98747089,-0.01488793,-0.02045271,-0.16263877,0.0370195,0.09358715,0.2167063,-0.21933258,0.21391411,2.52167388,0.47424136
KO,The Coca-Cola Company,ALL,2026-07-21,0.10692487,0.1663768,0.40758744,0.60816718,-0.015489,-0.02225245,-0.17274683,0.25269455,0.05134987,0.20641401,0.01289844,-0.1166017,3.46854625,0.58273063
MSFT,Microsoft Corporation,1Y,2026-07-21,-0.21213727,0.27476201,-0.91442425,-1.22163935,-0.02715806,-0.04026074,-0.34498388,0.78525724,-0.37176784,0.25768757,-1.57060689,-0.53696567,4.52068788,-0.21213727
MSFT,Microsoft Corporation,3Y,2026-07-21,0.05733942,0.24498315,0.07440368,0.10173046,-0.02483831,-0.035435,-0.34498388,0.97169687,-0.12416758,0.19699387,-0.65136643,-0.05478051,6.01163802,0.18207021
MSFT,Microsoft Corporation,ALL,2026-07-21,0.048053,0.27658448,0.03232728,0.04694222,-0.02708794,-0.03903377,-0.34498388,1.1266714,-0.06446218,0.19666669,-0.28581074,0.07380252,3.46811132,0.23631468
